,recipeID,ingredient_and_quantity,ingredient_gt
147,11,1⁄2 tsp chilli flakes,chili
148,11,100ml extra virgin olive oil,virgin olive oil
149,11,300g orzo,orzo
150,11,800ml vegetable stock,vegetable stock
151,12,8 tbsp peanut butter,peanut butter
152,12,4 tbsp soy sauce,soy sauce
153,12,2 tbsp sugar,sugar
154,12,2 tbsp apple cider vinegar,apple cider vinegar
155,12,1 bunch of spring onions,spring onions
156,12,200g medium egg noodles,egg noodles
157,12,6 sausages,sausages
158,12,4 garlic cloves,garlic
159,12,1-inch piece of ginger,ginger
160,12,1 tsp chilli flakes,chilli flakes
161,12,1 red chilli,chilli
162,12,vegetable oil,vegetable oil
163,13,160g unsalted butter,butter
164,13,150g plain flour,flour
165,13,4 large eggs,eggs
166,13,200g light brown sugar,sugar
167,13,120ml single cream,single cream
168,13,2 tsp vanilla extract,vanilla extract
169,13,handful of roasted peanuts,peanuts
170,13,2 pints jude’s salted caramel ice cream,caramel ice cream
171,13,salt,salt
172,14,4 large aubergines or 6 small aubergines,aubergines
173,14,2 tsp sichuan peppercorns,sichuan pepper
174,14,4 large garlic cloves,garlic
175,14,3cm knob of ginger,ginger
176,14,4 tbsp light soy sauce,soy sauce
177,14,4 tbsp garlic chilli sauce,chilli garlic sauce
178,14,4 tbsp sugar,sugar
179,14,2 tbsp rice vinegar,rice vinegar
180,14,2 tsp corn flour,corn flour
181,14,200g tahini,tahini
182,14,5 tbsp toasted sesame oil,sesame oil
183,14,1 spring onion,spring onion
184,14,handful of roasted peanuts,peanuts
185,14,salt,salt
186,14,vegetable oil,vegetable oil
187,15,1 packet instant noodles,noodles
188,15,2 cloves of garlic,garlic
189,15,2 spring onions,spring onions
190,15,1 heaped tbsp oyster sauce,oyster sauce
191,15,1 1/2 tsp dark soy sauce,dark soy sauce
192,15,vegetable oil,vegetable oil
193,16,600g purple sprouting broccoli,purple sprouting broccoli
194,16,"90g rice flour, plus extra for dusting",rice flour
195,16,110g plain flour,flour
196,16,1 tsp baking powder,powder
197,16,1 tsp caster sugar,caster sugar
198,16,400ml icy cold sparkling water,carbonated water
199,16,4 tbsp mayo,mayonnaise
200,16,2 tbsp ‘nduja,‘nduja
201,16,1 clove of garlic,garlic
202,16,2 lemons,lemon
203,16,vegetable oil,vegetable oil
204,16,salt,salt
205,17,8 eggs,eggs
206,17,3 onions,onions
207,17,4 medium potatoes,potatoes
208,17,3 roasted peppers,peppers
209,17,1 tin of ortiz anchovies,anchovies
210,17,1 tbsp sweet smoked paprika,paprika
211,17,4 tbsp aioli,aioli
212,17,2 spring onions,spring onions
213,17,salt,salt
214,17,black pepper,pepper
215,17,olive oil,olive oil
216,18,310g room temperature water,water
217,18,8g dried instant yeast,yeast
218,18,10g sugar,sugar
219,18,500g strong white bread flour,bread flour
220,18,10g fine sea salt,fine sea salt
221,18,200g semolina,semolina
222,18,olive oil,olive oil
223,19,80ml soy sauce,soy sauce
224,19,50ml maple syrup,maple syrup
225,19,2 cloves of garlic,garlic
226,19,2-3 red chillies,chillies
227,19,1 large piece of ginger,ginger
228,19,300g mixed mushrooms ,mushrooms
229,19,100ml tahini,tahini
230,19,30ml sesame oil,sesame oil
231,19,60g white miso,miso
232,19,2 limes,lime
233,19,100ml oat milk,oat milk
234,19,300g soba noodles,soba noodles
235,19,90g baby pak choi ,pak choi or spinach
236,19,1 spring onion,spring onion
237,19,1 tbsp sesame seeds,sesame seeds
238,19,wooden or metal skewers,skewers
239,20,7 cloves of garlic,garlic
240,20,large bunch of coriander,coriander
241,20,3 tbsp plain flour,flour
242,20,1l oat milk,oat milk
243,20,500g macaroni,macaroni
244,20,250g violife epic mature cheddar,cheddar
245,20,3 tbsp harissa paste,harissa paste
246,20,1 lemon,lemon
247,20,150g breadcrumbs,breadcrumbs
248,20,50g violife prosociano wedge,prosociano wedge
249,20,salt,salt
250,20,pepper,pepper
251,20,vegetable oil,vegetable oil
252,21,25g dried mushrooms,mushrooms
253,21,1 onion,onion
254,21,1 carrot,carrot
255,21,400g chestnut mushrooms,chestnut mushrooms
256,21,1 glass  of red wine,wine
257,21,2 tins of brown or green lentils,lentils
258,21,500g small pasta,pasta
259,21,handful of parsley,parsley
260,21,handful of sage,sage
261,21,pinch of chilli flakes,chilli
262,21,salt,salt
263,21,olive oil,olive oil
264,22,2 red onions,onions
265,22,2 cloves of garlic,garlic
266,22,2 jarred roasted peppers,peppers
267,22,1 tsp dried oregano,oregano
268,22,1 tsp chilli flakes,chilli
269,22,400g orzo,orzo
270,22,400g tin of chopped tomatoes,tomatoes
271,22,200g feta,feta
272,22,60g kalamata olives,kalamata olives
273,22,handful of dill,dill
274,22,handful of parsley,parsley
275,22,1 lemon,lemon
276,22,salt,salt
277,22,pepper,pepper
278,22,olive oil,olive oil
279,23,400g cavolo nero,cavolo nero
280,23,3 cloves of garlic,garlic
281,23,400g macaroni,macaroni
282,23,50g parmesan,parmesan
283,23,200g cheddar,cheddar
284,23,140g walnuts,walnuts
285,23,50g butter,butter
286,23,2 tbsp plain flour,flour
287,23,500ml whole milk,milk
288,23,1⁄2 tsp ground nutmeg,nutmeg
289,23,salt,salt
290,23,pepper,pepper
291,23,olive oil,olive oil
292,24,a small handful of mint,mint
293,24,1 onion,onion
294,24,500g lamb mince,lamb mince
295,24,1 tbsp harissa,harissa
296,24,4 flatbreads,flatbread
297,25,8 skinless chicken thighs,chicken thighs
298,25,1 red chilli,chilli
299,25,1 clove of garlic,garlic
300,25,large knob of ginger,ginger
301,25,2 tbsp clear honey,honey
302,25,4 tbsp soy sauce,soy sauce
303,25,400ml coconut milk,coconut milk
304,25,3 tbsp peanut butter,peanut butter
305,25,1 lime,lime
306,25,2 tsp sugar,sugar
307,25,1 cucumber,cucumber
308,25,large handful of salted peanuts,peanuts
309,25,bunch of coriander,coriander
310,25,3 small romaine lettuces,romaine lettuce
311,25,olive oil,olive oil
312,26,400g leftover grilled chicken or chicken tikka,chicken or chicken tikka
313,26,250g white onion,onion
314,26,50g garlic,garlic
315,26,3 tsp ground coriander,coriander
316,26,1 1⁄2 tsp kashmiri chilli powder,chilli powder
317,26,1kg fresh tomatoes,tomatoes
318,26,60g cashew nuts,cashew nuts
319,26,2 tbsp fenugreek leaves,fenugreek leaves
320,26,pinch of cardamom,cardamom
321,26,small pinch of cinnamon,cinnamon
322,26,1 tsp honey,honey
323,26,2 tbsp double cream,dobble cream
324,26,70g butter,butter
325,26,30ml vegetable oil,vegetable oil
326,26,salt,salt
327,27,1 onion,onion
328,27,6cm knob of ginger,ginger
329,27,6 cloves of garlic,garlic
330,27,2 sticks of lemongrass,lemongrass
331,27,2 finger chillies,finger chili
332,27,750g new potatoes,potatoes
333,27,1 tsp ground cumin,cumin
334,27,1⁄2 tsp ground turmeric,turmeric
335,27,1 tsp chilli powder,chilli powder
336,27,400ml coconut milk,coconut milk
337,27,400ml vegetable stock,vegetable stock
338,27,400g tinned chickpeas,chickpeas
339,27,handful of coriander,coriander
340,27,salt,salt
341,27,pepper,pepper
342,27,vegetable oil,vegetable oil
343,28,600g baby potatoes,potatoes
344,28,1 leek,leek
345,28,2 cloves of garlic,garlic
346,28,250ml double cream,double cream
347,28,50ml white wine,wine
348,28,25g parmesan,parmesan
349,28,bunch of parsley,parsley
350,28,olive oil,olive oil
351,28,20g butter,butter
352,29,400g king oyster mushrooms,king oyster mushroom
353,29,3 tbsp cornflour,cornflour
354,29,1 1⁄2 tbsp chinese five spice,five spice
355,29,1 cucumber,cucumber
356,29,6 spring onions,spring onions
357,29,180g hoisin sauce,hoisin sauce
358,29,12 chinese pancakes,pancakes
359,29,salt,salt
360,29,vegetable oil,vegetable oil
361,30,5 large carrots,carrots
362,30,300g giant couscous,couscous
363,30,2 tbsp honey,honey
364,30,1tbsp white wine vinegar,wine vinegar
365,30,handful of dates,dates
366,30,100g parsley,parsley
367,30,1 tsp chilli flakes,chilli
368,30,1 tsp cumin,cumin
369,30,1 lemon,lemon
370,30,1 tsp coriander,coriander
371,30,500g greek yoghurt,yoghurt
372,30,salt,salt
373,30,olive oil,olive oil
374,31,200g oyster mushrooms,oyster mushrooms
375,31,3 tbsp cornflour,cornflour
376,31,1 tsp salt,salt
377,31,1 tsp five-spice,five spice
378,31,3 tbsp hoisin sauce,hoisin sauce
379,31,1 tbsp tahini,tahini
380,31,3 tbsp light soy sauce,soy sauce
381,31,1 tbsp dark soy sauce,dark soy sauce
382,31,2 tbsp toasted sesame oil,sesame oil
383,31,500g noodles,noodles
384,31,5 cloves of garlic,garlic
385,31,1 bunch of spring onions,spring onions
386,31,1 red chilli,chilli
387,31,3cm knob of ginger,ginger
388,31,100g sugar snap peas,sugar snap peas
389,31,vegetable oil,vegetable oil
390,32,2 courgettes,zucchini
391,32,3 tomatoes,tomatoes
392,32,1⁄4 red onion,onion
393,32,1 green chilli,chilli
394,32,1 clove of garlic,garlic
395,32,bunch of coriander,coriander
396,32,1 lime,lime
397,32,4 corn cobs,corn
398,32,100g plain flour,flour
399,32,2 tsp ground cumin,cumin
400,32,1 tsp smoked paprika,paprika
401,32,salt,salt
402,32,olive oil,olive oil
403,33,5 cloves of garlic,garlic
404,33,3 banana shallots,banana shallots
405,33,1⁄2 tsp chilli flakes,chilli
406,33,5 anchovy fillets,anchovies
407,33,2 x 400g tins of chopped tomatoes,tomatoes
408,33,2 x 90g tins of sardines in olive oil,sardines
409,33,500g spaghetti,spaghetti
410,33,1 lemon,lemon
411,33,50g capers,capers
412,33,small handful of dill,dill
413,33,100g ricotta,ricotta
414,33,salt,salt
415,33,pepper,pepper
416,33,olive oil,olive oil
417,34,300g chestnut mushrooms,chestnut mushrooms
418,34,5 tbsp whole milk,milk
419,34,3 tbsp breadcrumbs,breadcrumbs
420,34,500g pork mince,pork mince
421,34,1 egg,egg
422,34,15g parsley,parsley
423,34,1 tsp black pepper,pepper
424,34,1⁄2 tsp nutmeg,nutmeg
425,34,1 onion,onion
426,34,1 stick of celery,celery
427,34,1 carrot,carrot
428,34,250g green lentils,lentils
429,34,1 tbsp white wine vinegar,wine vinegar
430,34,1l chicken stock,chicken stock
431,34,handful of dill,dill
432,34,1 tbsp wholegrain mustard,wholegrain mustard
433,34,100g creme fraiche,creme fraiche
434,34,4 tbsp blueberry jam,blueberry jam
435,35,500g rigatoni,rigatoni
436,35,250g chorizo,chorizo
437,35,4 large garlic cloves,garlic
438,35,pinch of chilli flakes,chilli
439,35,2 tbsp double concentrated tomato puree,tomato puree
440,35,400g cherry tomatoes,cherry tomatoes
441,35,500g mascarpone,mascarpone
442,35,"30g parmesan, plus more to finish",parmesan
443,35,handful fresh flat-leaf parsley,parsley
444,35,handful fresh basil leaves,basil leaves
445,35,salt,salt
446,35,black pepper,pepper
447,35,olive oil,olive oil
448,36,handful of pine nuts,pine nuts
449,36,400g spaghetti,spaghetti
450,36,300g of jarred artichokes,artichokes
451,36,4 cloves of garlic,garlic
452,36,1 red chilli,chilli
453,36,1 sprig of rosemary,rosemary
454,36,handful of mint,mint
455,36,1 big lemon,lemon
456,36,salt,salt
457,36,pepper,pepper
458,36,olive oil,olive oil
459,37,2 shallots,shallots
460,37,3 cloves of garlic,garlic
461,37,400g chopped tomatoes,tomatoes
462,37,"100g parmesan, plus the rind",parmesan
463,37,"handful of basil, plus the stalks",basil
464,37,3 tbsp fresh pesto,pesto
465,37,3 tbsp mayo,mayonnaise
466,37,4 chicken breasts,chicken breasts
467,37,140g plain flour,flour
468,37,3 eggs,eggs
469,37,150g panko breadcrumbs,panko breadcrumbs
470,37,250g mozzarella,mozzarella
471,37,4 brioche buns,brioche buns
472,37,lemon wedges,lemon wedge
473,37,salt,salt
474,37,pepper,pepper
475,37,olive oil,olive oil
476,38,300g bucatini,bucatini
477,38,150g pancetta,pancetta
478,38,2 balls of mozzarella,mozzarella
479,38,4 eggs,eggs
480,38,50g parmesan,parmesan
481,38,salt,salt
482,38,pepper,pepper
483,38,olive oil,olive oil
484,39,1.5kg maris piper potatoes,potatoes
485,39,150g plain flour,flour
486,39,5 cloves of garlic,garlic
487,39,800g chopped tomatoes,tomatoes
488,39,2 tbsp rose harissa paste,harissa paste
489,39,1 tsp miso paste,miso paste
490,39,1 lemon,lemon
491,39,150g silken tofu,tofu
492,39,handful of basil,basil
493,39,salt,salt
494,39,pepper,pepper
495,39,olive oil,olive oil
496,40,8 slices of sourdough,sourdough
497,40,500g thick greek yoghurt,yoghurt
498,40,8 eggs,eggs
499,40,4 tbsp za’atar,za'atar
500,40,2 tsp chilli flakes,chilli
501,40,handful of mint,mint
502,40,salt,salt
503,40,olive oil,olive oil
504,41,100g ricotta,ricotta
505,41,1 tsp chilli flakes,chilli
506,41,3 tbsp oregano,oregano
507,41,30g breadcrumbs,breadcrumbs
508,41,2 eggs,eggs
509,41,50g plain flour,flour
510,41,300g pitted green olives,pitted olives
511,41,1l vegetable oil,vegetable oil
512,41,salt,salt
513,41,olive oil,olive oil
514,42,a small handful of parsley,parsley
515,42,3 cloves of garlic,garlic
516,42,250g chestnut mushrooms,chestnut mushrooms
517,42,1⁄2 loaf sourdough bread,sourdough bread
518,42,10 rashers of bacon,bacon
519,42,6 sausages,sausages
520,42,250g cherry tomatoes on the vine,cherry tomatoes
521,42,4 eggs,eggs
522,42,salt,salt
523,42,olive oil,olive oil
524,43,1 bunch of spring onions,spring onions
525,43,1 red chilli,chilli
526,43,25g knob of ginger,ginger
527,43,4 garlic cloves,garlic
528,43,1kg boneless pork belly,pork belly
529,43,40g brown sugar,sugar
530,43,1 star anise,star anise
531,43,50ml light soy sauce,soy sauce
532,43,70ml shaoxing wine,shaoxing wine
533,43,2 tbsp guinness paste,guinness paste
534,43,1⁄2 white cabbage,cabbage
535,43,1⁄2 cucumber,cucumber
536,43,bunch of coriander,coriander
537,43,8 bao buns,bao buns
538,44,"1 tbsp crispy chilli oil, plus 1 tsp",chilli oil
539,44,1 tbsp tahini,tahini
540,44,1 pak choi,pak choi
541,44,1 packet of instant noodles,noodles
542,44,1 tsp toasted sesame seeds,sesame seeds
543,45,500g heritage carrots ,carrots
544,45,1⁄2 tsp cinnamon,cinnamon
545,45,1 lemon,lemon
546,45,300g thick greek yoghurt,yoghurt
547,45,150g feta,feta
548,45,400g tin of chickpeas,chickpeas
549,45,2 tbsp honey,honey
550,45,2 tbsp rose harissa paste,harissa paste
551,45,salt,salt
552,45,pepper,pepper
553,45,olive oil,olive oil
554,46,1⁄2 loaf of sourdough,sourdough
555,46,1 red onion,onion
556,46,1 bulb fennel,fennel
557,46,1 tin butterbeans,butter beans
558,46,3 large oranges,oranges
559,46,handful of basil,basil
560,46,handful of parsley,parsley
561,46,1 tsp chilli flakes,chilli
562,46,1 lemon,lemon
563,46,olive oil,olive oil
564,46,salt,salt
565,47,300g tilda basmati rice,basmati rice
566,47,250g paneer,paneer
567,47,2 onions,onions
568,47,6 cloves of garlic,garlic
569,47,5cm knob of ginger,ginger
570,47,2 green chillies,chillies
571,47,1 tsp cumin seeds,cumin seeds
572,47,2 tsp black mustard seeds,mustard seeds
573,47,1 tsp fenugreek seeds,fenugreek seeds
574,47,400g tinned tomatoes,tomatoes
575,47,1 tsp turmeric,turmeric
576,47,1 tsp chilli powder,chilli powder
577,47,1 tbsp garam masala,garam masala
578,47,1 tin of chickpeas,chickpeas
579,47,3 tbsp double cream,double cream
580,47,bunch of coriander,coriander
581,47,vegetable oil,vegetable oil
582,48,3 bananas,bananas
583,48,3 eggs,eggs
584,48,6 tbsp self-raising flour,self-raising flour
585,48,your favourite pancake topping,pancake topping
586,49,1 chicken carcass,chicken carcass
587,49,2 onions,onions
588,49,1 bulb of garlic,garlic
589,49,veggie scraps,mixed vegetables
590,50,1kg skin-on chicken thighs,chicken thighs
591,50,150g sriracha,sriracha
592,50,50g honey,honey
593,50,2 tbsp soy sauce,soy sauce
594,50,2 bunches of spring onions,spring onions
595,50,6 cloves of garlic,garlic
596,50,2 tbsp toasted sesame seeds,sesame seeds
597,50,"steamed rice, to serve",rice
598,51,1.5kg potatoes,potatoes
599,51,2 tbsp nduja,nduja
600,51,handful of rosemary,rosemary
601,51,half a lemon,lemon
602,51,olive oil,olive oil
603,51,salt,salt
604,52,450g firm tofu,tofu
605,52,2 tbsp light soy sauce,soy sauce
606,52,2 tbsp corn flour,corn flour
607,52,150ml vegetable oil,vegetable oil
608,52,dipping sauce of your choice,sauce
609,53,6 cloves of garlic,garlic
610,53,3 thai red chillies,chillies
611,53,1⁄4 savoy cabbage,savoy cabbage
612,53,large handful mint,mint
613,53,2 tbsp fish sauce,fish sauce
614,53,2 tbsp soy sauce,soy sauce
615,53,2 tbsp oyster sauce,oyster sauce
616,53,2 tsp sugar,sugar
617,53,400g sausages,sausages
618,53,4 eggs,eggs
619,53,"rice, to serve",rice
620,54,1 large butternut squash,butternut squash
621,54,300g greek yoghurt,yoghurt
622,54,100g goat's cheese,goat cheese
623,54,2 lemons,lemon
624,54,1 green chilli,chilli
625,54,1 clove of garlic,garlic
626,54,2 bunches of coriander ,coriander
627,54,2 tsp ground cardamom,cardamom
628,54,1 tsp ground cumin,cumin
629,54,1⁄2 tsp chili flakes,chili
630,54,50g hazelnuts,hazelnuts
631,55,4 chicken legs,chicken legs
632,55,1/2 loaf of sourdough,sourdough
633,55,4 medium sized tomatoes,tomatoes
634,55,4 tbsp ‘nduja,‘nduja
635,55,basil,basil
636,55,250ml chicken stock,chicken stock
637,55,2 tbsp creme fraiche,creme fraiche
638,55,salt,salt
639,55,pepper,pepper
640,55,olive oil,olive oil
641,56,2 eggs,eggs
642,56,100g plain flour,flour
643,56,250g milk,milk
644,56,salt,salt
645,57,280g plain flour,flour
646,57,3 tbsp sugar,sugar
647,57,1 tsp baking powder,powder
648,57,1 tsp bicarbonate of soda,bicarbonate of soda
649,57,pinch of salt,salt
650,57,300ml sour cream,sour cream
651,57,25g butter,butter
652,57,4 eggs,eggs
653,57,100ml milk,milk
654,58,5 eggs,eggs
655,58,100g parmesan,parmesan
656,58,4 tbsp cream cheese,cream cheese
657,58,1 tbsp butter,butter
658,58,2 bagels,bagel
659,58,3 rashers of smoked streaky bacon,streaky bacon
660,58,small handful of parsley,parsley
661,59,6 jolly hog proper porker sausages,sausages
662,59,3 large onions,onions
663,59,200ml red wine,wine
664,59,1 tbsp butter,butter
665,59,2 tbsp tomato puree,tomato puree
666,59,2 cloves of garlic,garlic
667,59,400ml chicken stock,chicken stock
668,59,handful of parsley,parsley
669,59,50g parmesan,parmesan
670,59,400g tagliatelle,tagliatelle
671,59,olive oil,olive oil
672,59,salt,salt
673,60,200g apetina paneer,paneer
674,60,"2 tbsp sesame seeds, plus extra for garnish",sesame seeds
675,60,1 large courgette,courgette
676,60,1-inch knob of ginger,ginger
677,60,3 cloves of garlic,garlic
678,60,1 red chilli,chilli
679,60,"2 spring onions, plus extra for garnish",spring onions
680,60,"1⁄2 tsp chilli flakes, plus extra for garnish",chilli
681,60,3 tbsp plain flour,flour
682,60,4 large eggs,eggs
683,60,1 tsp salt,salt
684,60,1⁄2 tsp pepper,pepper
685,60,1 tbsp gochujang,gochujang base
686,60,3 tsp soy sauce,soy sauce
687,60,coconut oil,coconut oil
688,60,1 lime,lime
689,61,10 cloves of garlic,garlic
690,61,2 tbsp black peppercorns,peppercorns
691,61,2 tbsp butter,butter
692,61,1⁄2 tsp chilli flakes,chilli
693,61,1kg spinach,spinach
694,61,150g parmesan,parmesan
695,61,salt,salt
696,62,2 white onions,onions
697,62,6 cloves of garlic,garlic
698,62,1 tsp paprika,paprika
699,62,2 tsp ground cumin,cumin
700,62,2 tsp ground coriander,coriander
701,62,500g black eyed beans,black-eyed beans
702,62,400g chopped tomatoes,tomatoes
703,62,100g vegan coconut yoghurt,coconut yoghurt
704,62,350ml coconut milk,coconut milk
705,62,1 tbsp scotch bonnet chilli jam or 1 scotch bonnet,chilli jam
706,62,1l white wine vinegar,wine vinegar
707,62,500g caster sugar,caster sugar
708,62,2 chillies,chillies
709,62,1 cucumber,cucumber
710,62,1⁄4 white cabbage,cabbage
711,62,1⁄4 daikon,daikon
712,62,bunch of spring onions,spring onions
713,62,250g bombay mix,bombay mix
714,62,handful of coriander,coriander
715,62,salt,salt
716,62,vegetable oil,vegetable oil
717,63,300g vegan puff pastry,puff pastry
718,63,7 large banana shallots,banana shallots
719,63,1 tbsp red wine vinegar,wine vinegar
720,63,handful of rosemary,rosemary
721,63,bunch of basil,basil
722,63,1⁄2 a clove of garlic,garlic
723,63,pinch of chilli flakes,chilli
724,63,salt,salt
725,63,olive oil,olive oil
726,64,500g gluten free pasta,pasta
727,64,50g almonds,almonds
728,64,60g basil,basil
729,64,50g butter,butter
730,64,2 tbsp plain flour,flour
731,64,500ml milk,milk
732,64,200g parmesan,parmesan
733,64,30g gluten free breadcrumbs,breadcrumbs
734,64,1 ball of mozzarella,mozzarella
735,64,salt,salt
736,64,olive oil,olive oil
737,65,"500g shelled, raw king prawns",king prawns
738,65,4 heaped tsp curry powder ,curry powder
739,65,2 egg yolks,egg
740,65,1 heaped tsp dijon mustard,dijon mustard
741,65,1 lime,lime
742,65,2 tbsp mango chutney,mango chutney
743,65,3 tbsp sultanas,sultanas
744,65,4 slices of thick white bread,bread
745,65,2 sticks of celery ,celery leaves
746,65,prawn crackers,prawn crackers
747,65,200ml sunflower oil,sunflower oil
748,66,250g instant polenta,polenta
749,66,300g vegan yoghurt,yoghurt
750,66,1⁄2 a red chilli,chilli
751,66,handful of mint,mint
752,66,2 tbsp capers,capers
753,66,salt,salt
754,66,olive oil,olive oil
755,67,6 good-quality sausages,sausages
756,67,2 tbsp butter,butter
757,67,1 shallot,shallot
758,67,3 cloves of garlic,garlic
759,67,400g rigatoni,rigatoni
760,67,2 tbsp gochujang,gochujang base
761,67,220ml single cream,single cream
762,67,2 limes,lime
763,67,2 tbsp honey,honey
764,67,30g coriander,coriander
765,67,15g panko breadcrumbs,panko breadcrumbs
766,67,40g parmesan,parmesan
767,67,salt,salt
768,67,pepper,pepper
769,67,olive oil,olive oil
770,68,2 large/4 small ciabatta or baguettes,ciabatta or baguette
771,68,2 cloves of garlic,garlic
772,68,1 tbsp oregano,oregano
773,68,1 tin chopped tomatoes,tomatoes
774,68,bunch of basil,basil
775,68,2 balls of mozzarella,mozzarella
776,68,salt,salt
777,68,olive oil,olive oil
