,recipeID,instructions,ingredients_no_quantities
10,11,"['preheat the oven to 190°c', 'put the peppers on a baking tray and drizzle with olive oil', 'roast for 15 mins', 'carefully slice the peppers open lengthwise and scoop out the seeds', 'grab a cast-iron skillet with a lid that’s suitable for the oven.* weigh out your orzo and heat up the stock, set aside', 'mince 5 garlic cloves and then heat the skillet on medium-low with 4 tbsp of olive oil', 'fry the garlic for 20 seconds, stirring constantly to stop it from burning', 'add the orzo and stir to coat evenly with garlic oil, then add the stock and stir again', 'place the peppers snuggly into the orzo, close the lid and bake for 30 mins', 'while the orzo is cooking, make the filling', 'finely dice the onion and mushrooms, mince three cloves of garlic and set each aside separately', 'heat a frying pan over medium heat with a good drizzle of olive oil', 'fry the onion until translucent then add ½ tsp cumin, 1 tsp ras el hanout, ½ tsp paprika and 2 tsp tomato paste', 'stir fry the spices for one minute, then add the garlic and mushrooms and a pinch of salt', 'cook the mushrooms for 3-4 mins, then add the lentils, raisins and two-thirds of the walnuts', 'cook for another 8-10 mins, until cooked through', 'if it becomes too dry, add a little more olive oil or a splash of water', 'then add the moscatel and turn the heat up high for a minute or so, until the vinegar evaporates', 'season well with salt and pepper, turn off the heat and set aside', 'to make the zhoug, add the coriander, chopped jalapeño, ½ tsp cumin, ½ tsp cardamom, ½ tsp red pepper flakes and 80ml of olive oil to a food processor and pulse until finely chopped but still chunky', 'be careful not to turn it into a paste, there should be plenty of texture', 'season generously with salt and pepper', 'after 30 mins of baking, the peppers should be soft and the orzo should be perfectly cooked', 'carefully fill the peppers with the mushroom mix', 'close the lid and bake for 5 more minutes for the flavours to marinate', 'when ready to serve, drizzle plenty of zhoug over the top and sprinkle the rest of the walnuts and a good squeeze of lemon.']","['romano peppers', 'onion', 'garlic', 'chestnut mushrooms', 'walnuts', 'raisins', 'tomato paste', 'ras el hanout', 'cumin', 'paprika', 'moscatel vinegar', 'sherry vinegar', 'lentils', 'coriander', 'jalapeno', 'cardamom', 'chilli', 'virgin olive oil', 'orzo', 'vegetable stock']"
11,12,"['add the peanut butter, soy sauce, sugar, apple cider vinegar and 250ml water to a bowl and whisk until smooth', 'heat a splash of vegetable oil in a large frying pan or wok over high heat', 'add the spring onions and cook, turning occasionally, until softened and nicely charred', 'transfer to a chopping board and cut into 2cm chunks', 'cook the noodles in boiling water according to the package instructions', 'rinse under cold water and drain', 'add 2 tablespoons of oil to the noodles and toss to coat', 'this will prevent them from sticking to each other', 'split the sausage casings and remove the sausage meat then mince the garlic and ginger', 'heat a splash of vegetable oil in a large frying pan or wok over high heat', 'add the sausage meat and cook, breaking it up with a wooden spoon, until browned and crispy', 'add the garlic, ginger and chilli flakes and stir fry for 1 minute, then add the noodles, peanut sauce and spring onions and toss well to coat', 'turn the heat down to low and keep tossing until the sauce nicely coats the noodles, adding more water as necessary to loosen the sauce', 'thinly slice the red chilli', 'plate up and garnish with the sliced chillies then you’re ready to dig in.']","['peanut butter', 'soy sauce', 'sugar', 'apple cider vinegar', 'spring onions', 'egg noodles', 'sausages', 'garlic', 'ginger', 'chilli', 'chilli', 'vegetable oil']"
12,13,"['melt 100g butter in a saucepan over medium heat', 'add 240ml water and bring to a rapid simmer', 'add the flour and a pinch of salt and mix continuously with a wooden spoon until the dough comes away from the sides of the pan', 'transfer the dough to a mixing bowl and leave to cool for 10 mins', 'heat your oven to 220°c / fan 200°c and line 2 large baking trays with greaseproof paper', 'add 1 egg to the cooled dough mixture and beat with a wooden spoon until combined', 'repeat with the remaining eggs, ensuring each egg is fully incorporated before adding the next', 'using a teaspoon, spoon 15 blobs of the dough onto each of the baking trays', 'you want each blob to be 1 heaped teaspoon worth of dough', 'bake for 18 to 20 mins, or until golden brown and risen', 'meanwhile, place the remaining 60g butter in a saucepan with the light brown sugar, single cream, vanilla extract and 1 teaspoon of salt and bring to a simmer over medium-low heat', 'cook for 5 mins, stirring constantly, then transfer to a heatproof bowl to cool', 'the sauce will thicken as it cools', 'take the profiteroles out of the oven and cut a small split in the base of each one to let the steam out', 'cool on a wire rack before filling', 'meanwhile, crush up the peanuts', 'once the profiteroles have cooled, halve them horizontally and fill each of them with a heaped tablespoon of jude’s salted caramel ice cream', 'dip the top of each of the assembled profiteroles in the salted caramel sauce and sprinkle with some crushed peanuts', 'stack them up onto a large plate, serve and enjoy!']","['butter', 'flour', 'eggs', 'sugar', 'single cream', 'vanilla extract', 'peanuts', 'caramel ice cream', 'salt']"
13,14,"['heat your oven to 200°c/180°c fan', 'pierce the aubergines all over with a small knife and rub with vegetable oil', 'bake in a roasting tin, turning occasionally, for 1 hour, or until completely softened', 'meanwhile, toast the sichuan peppercorns in a dry pan over medium heat until nice and fragrant, around 1 min', 'transfer to a mortar and pound with a pestle until ground', 'mince the garlic and finely chop the ginger', 'place them in a bowl with the ground sichuan peppercorns, light soy sauce, garlic chilli paste, sugar, rice wine vinegar, and 300ml water', 'mix the corn flour with a couple of tablespoons of water and add to the sauce', 'whisk the tahini and toasted sesame oil until smooth then add 150ml water and whisk again until smooth', 'it will split and look like it won’t emulsify but trust the process! after a couple of minutes, it will come together in a thick, creamy sauce', 'season with salt and set aside', 'take the aubergines out of the oven', 'place the sauce in a large wok and bring to a simmer over high heat', 'add the aubergine and cook for 3 mins, turning often to coat the aubergine in the sauce', 'thinly slice the spring onions', 'to serve, smooth the tahini sauce on the base of a serving dish', 'place the aubergines on top and drizzle with the sauce', 'top with a sprinkle of crispy onions, peanuts and spring onions.']","['aubergines', 'sichuan pepper', 'garlic', 'ginger', 'soy sauce', 'chilli garlic sauce', 'sugar', 'rice vinegar', 'corn flour', 'tahini', 'sesame oil', 'spring onion', 'peanuts', 'salt', 'vegetable oil']"
14,15,"['place the noodles in a heatproof bowl of boiling water for few mins and cover with a lid', 'meanwhile, niche your garlic and slice your spring onions, separating your whites to greens', 'once your noodles are soft, drain using a colander', 'now pour a small glug of veg oil into your wok, and on med heat fry your garlic and white spring onions', 'then add your noodles, oyster sauce, dark soy sauce and the seasoning packet included in your noodle packet', 'give it a toss', 'then add your green spring onions and give it a final toss', '10 mins bish bash bosh', 'enjoy.']","['noodles', 'garlic', 'spring onions', 'oyster sauce', 'dark soy sauce', 'vegetable oil']"
15,16,"['fill a large pot just under halfway with vegetable oil and set over a medium heat, bring to 180°c', 'trim any woody ends from the broccoli and halve any large stalks lengthways', 'whisk together the rice and plain flours along with the baking powder and caster sugar', ""gradually whisk in the sparkling water until you have a loose batter that's the texture of double cream"", 'lightly dust the broccoli with rice flour, dunk briefly in the batter and carefully lower into the oil', 'fry for 2-3 mins until golden brown and crunchy', 'carefully transfer to a lined baking tray or rack and season with salt', 'repeat with the remaining broccoli', ""meanwhile, grate the garlic into a bowl and beat in the 'nduja with a big squeeze of lemon juice"", 'stir in the mayo and season with salt', ""serve the hot, crispy broccoli with lemon wedges and plenty of 'nduja aioli.""]","['purple sprouting broccoli', 'rice flour', 'flour', 'powder', 'caster sugar', 'carbonated water', 'mayonnaise', '‘nduja', 'garlic', 'lemon', 'vegetable oil', 'salt']"
16,17,"['preheat the grill to medium-high (190°c)', 'crack your eggs into a large bowl, season with salt and whisk with a fork', 'set aside', 'thinly slice your onions and get them into a pan with plenty of olive oil', 'cook down with a pinch of salt for 9-10 mins until caramelised', 'meanwhile, peel and slice your potatoes as thin as you can', 'chuck them into the pan with the onions and add a shed load of olive oil, approx 100ml (trust me)', 'cover and cook, stirring regularly for 7-8 mins until the potatoes are just tender', 'now drain off the excess oil (save this for later!) and mix the onions and potatoes into the eggs', 'slice up the peppers and roughly chop the anchovies and get them into the bowl with the eggs', 'mix everything together and season with salt, pepper and a generous pinch of sweet smoked paprika', 'now grab a 24cm non-stick frying pan (trust me, you want it non-stick)', 'add a splash of the leftover olive oil and preheat over medium-low', 'dump the egg mixture into the pan (you should hear a gentle sizzle) and shake to distribute the potatoes, peppers and anchovies throughout the pan', 'now turn down the heat and cook for 10-12 mins until the sides begin to set', 'pop it under the grill for 4-5 minutes', 'now, grab a large plate or lid and flip the tortilla out', 'slide it back into the pan and cook for another 3-4 mins', 'turn the tortilla out onto a chopping board and cut into wedges', 'now top with aioli, extra paprika and sliced spring onions', 'serve with a green salad if you fancy it.']","['eggs', 'onions', 'potatoes', 'peppers', 'anchovies', 'paprika', 'aioli', 'spring onions', 'salt', 'pepper', 'olive oil']"
17,19,"['in a large mixing bowl, combine the water, yeast and sugar and stir to combine', 'add the flour and salt and use your hand to mix the ingredients together and form a shaggy dough', 'turn the dough out onto a lightly floured surface and knead for 8-10 mins until smooth and springy', 'divide the dough into 6 pieces, form into little balls and place into a tray dusted with semolina', 'now chuck them in the fridge and forget about them for a day or two', 'when you’re ready for a flatbread, place a large frying pan over a medium heat', 'add a glug of oil, pull out a flatbread and stretch it out in a little more semolina', 'chuck it into the pan and cook on one side until crispy and puffed', 'give it a flip and cook until lightly charred', 'that’s it, good to go', 'stuff them full of grilled chicken, hummus, baked feta – whatever you want', 'the dough balls will sit happily in your fridge, ready to go for up to 5 days.']","['water', 'yeast', 'sugar', 'bread flour', 'fine sea salt', 'semolina', 'olive oil']"
18,20,"['first make the mushroom marinade', 'in a blender, add 80ml soy sauce, 30ml maple syrup, 2 garlic cloves, 1 small chilli, 10g ginger (peeled), and blend until smooth', 'if you’re using wooden skewers, soak them in water', 'cut the mushrooms into bite sized chunks', 'put the mushrooms and the marinade into a shallow bowl and mix well', 'set aside', '*see notes for king oyster mushrooms', 'next, make the miso tahini sauce', 'in a blender, add 100g tahini, 30g sesame oil, 60g white miso, the juice of one lime, 30ml maple syrup, 100ml oat milk and blend until smooth', 'set aside', 'cook the soba noodles according to the packet instructions, stirring a few times to prevent sticking', 'drain and run them under cold water, then place in a bowl with a good drizzle of sesame oil to prevent them sticking', 'skewer the mushrooms onto the sticks, finishing with a piece of chilli and spring onion if you like', 'griddle the skewers over high heat on a griddle pan, turning frequently, until charred and cooked through', 'slice and wash the pak choi', 'heat a saucepan with a drizzle of neutral oil and stir fry the pak choi until just wilted', 'add the miso sauce and noodles to the pan and heat through', 'if the sauce is very thick, add a little water or some more oat milk', 'to serve, spoon the noodles into a plate and lay the mushroom skewers on top, with a sprinkle of sesame seeds and a good squeeze of lime.']","['soy sauce', 'maple syrup', 'garlic', 'chillies', 'ginger', 'mushrooms', 'tahini', 'sesame oil', 'miso', 'lime', 'oat milk', 'soba noodles', 'pak choi', 'spinach', 'spring onion', 'sesame seeds', '']"
19,21,"['preheat the oven to 200°c', 'finely chop 4 cloves of garlic and coriander', 'add 50ml of vegetable oil to a pan and add in the flour', 'cook on medium heat for 7-8 mins until it turns a dark golden brown', 'then add in the garlic and cook for 3 mins', 'then pour in the oat milk and keep mixing until you get a smooth consistency', 'meanwhile, pop the macaroni in some boiling water and cook for 5 mins', ""grate the violife epic mature cheddar and add this to the pan and keep mixing until it's smooth and melted"", 'add in the harissa paste, juice of a lemon and 1 tsp salt', 'save 200ml of pasta water and add the macaroni to the baking dish', 'add in 200ml of pasta water so it’s very loose', 'transfer this to a baking dish', 'grate in the remaining garlic into a small bowl and add in 2 tbsp of olive oil', 'mix well and then add in the breadcrumbs, coriander and grated violife prosociano wedge', 'season well with salt and pepper\nsprinkle this over your pasta and bake for 20 mins until golden and bubbling', 'allow to cool for a few mins and then tuck in!']","['garlic', 'coriander', 'flour', 'oat milk', 'macaroni', 'cheddar', 'harissa paste', 'lemon', 'breadcrumbs', 'prosociano wedge', 'salt', 'pepper', 'vegetable oil']"
20,22,"['start by placing the dried mushroom into a bowl and covering with 250ml of boiling water', 'leave to soak while you do the rest of the prep', 'dice the onion and carrot (or whizz in a processor until finely chopped), it should be small but doesn’t have to be neat', 'place a saucepan over a medium heat, add a generous amount of olive oil (3 tbsp/50ml) and add the onion and carrot with a pinch of salt', 'cook for about 8 mins until soft but not browned', 'while the onion and carrot cook, finely chop all of the mushrooms', 'empty the contents of the pan into a bowl and wipe out', 'place the pan back over a high heat and add the mushrooms and a pinch of salt', 'drain the soaked mushrooms (keep the soaking liquid) and finely chop', 'add those to the pan too', 'cook until the mushrooms have released most of their moisture and taken on some colour, you want a nice golden brown', 'add the wine and let it bubble away until almost completely evaporated, then turn down the heat to medium', 'return the onion and carrot to the pan along with both tins of lentils (drain them first), the mushroom soaking liquid and a tsp of salt', 'bring the ragù to a simmer and cook for about 15 mins', 'while the sauce is cooking, put the pasta on to boil in plenty of salted water', 'once the pasta is al dente, drain and combine with the ragù', 'finely chop the parsley, add and mix well', 'add 75ml of olive oil to a small pan and place over a medium heat', 'pick and add the sage leaves and fry for a couple of mins until crisp\nplate up the pasta, top with a few crunchy sage leaves and a drizzle of the oil they cooked', 'add a sprinkle of chilli, if you like.']","['mushrooms', 'onion', 'carrot', 'chestnut mushrooms', 'wine', 'lentils', 'pasta', 'parsley', 'sage', 'chilli', 'salt', 'olive oil']"
21,23,"['preheat the oven to 180°c', 'finely slice the onions and garlic and roughly chop the roasted peppers', 'heat a large ovenproof pan over a medium-high heat', 'cook most of the onion, saving a handful, in a glug of oil with a pinch of salt for 8-10 mins until they start to caramelise', 'add the oregano, garlic and chilli flakes and cook for a further couple of mins', 'now add the orzo, chopped tomatoes and peppers', 'add 210ml of water and a splash of the liquid from the pepper jar', 'season with salt and pepper, crumble in the feta and scatter your olives over the top of the pan', 'bring to a simmer and transfer to the oven for 30-35 mins until cooked through and starting to brown on top', 'while the orzo bakes, toss the dill, parsley and remaining sliced onion with a squeeze of lemon', 'top the orzo with the onion and herbs and a drizzle of olive oil', 'serve with extra lemon wedges.']","['onions', 'garlic', 'peppers', 'oregano', 'chilli', 'orzo', 'tomatoes', 'feta', 'kalamata olives', 'dill', 'parsley', 'lemon', 'salt', 'pepper', 'olive oil']"
22,25,"['preheat your oven to 180°c', 'get a pot of salted water to boil', 'wash the cavolo nero then strip the leaves off', 'pop these into the boiling water and blanch until soft', 'meanwhile, mince your cavolo nero stalks', 'remove the leaves from the pot, preserving the water', 'bring the pot of water to boil again then add the macaroni in and cook until al dente', 'remove your macaroni, keeping the pasta water', 'add the blanched cavolo nero leaves along with the garlic to a food processor and pulse with a splash of pasta water', 'grate your parmesan and cheddar, and set aside in separate bowls', 'crush your walnuts using a pestle and mortar', 'meanwhile, make your béchamel', 'on low heat, add the butter then the flour and continuously stir until a paste forms - this is your roux', 'gradually pour in the milk and continuously whisk', 'season with nutmeg then add your grated cheese', 'fold in your macaroni then add your cavolo nero purée and 100g of the crushed walnuts', 'season with salt, pepper and a pinch of chilli flakes to taste', 'in a separate pan, toast the cavolo nero stalks then add in your breadcrumbs and fry until golden', 'take it off the heat and add the remaining crushed walnuts', 'transfer your macaroni to a baking dish and top with the breadcrumb mix', 'bake in the oven for 20 mins and enjoy this goodie.']","['cavolo nero', 'garlic', 'macaroni', 'parmesan', 'cheddar', 'walnuts', 'butter', 'flour', 'milk', 'nutmeg', 'salt', 'pepper', 'olive oil']"
23,26,"['preheat the oven to 200°c', 'finely chop up the mint', 'grate the onion into a bowl using a box grater and then add in the lamb mince, harissa and mint', 'mix the lamb really well for 5 mins so it becomes very well mixed - this will help the fat emulsify', 'roll the lamb into 10 evenly sized sausages and place onto an oven-proof rack', 'pop the rack onto a tray and bake for 4 mins', 'take the tray out of the oven and turn the kebabs', 'pop your flatbread onto the baking tray underneath the rack so they can soak up the lamb juices', 'bake for another 4 mins', 'remove from the oven and enjoy the kebabs with the soft flatbread.']","['mint', 'onion', 'lamb mince', 'harissa', 'flatbread']"
24,27,"['dice chicken thighs into little chunks', 'throw into a bowl', 'grate in a red chilli, your clove of garlic and a large knob of ginger', 'add your honey, 3 tbsp of soy sauce and half a can of coconut milk', 'add a splash of olive oil and mix everything together', 'cover and leave in the fridge for 10 minutes to marinate', 'chop your coriander and cucumber into small chunks and add to a big bowl', 'dressing time', 'into a bowl, add the peanut butter, a tbsp of soy sauce, the juice of a lime, coconut milk and sugar', 'keep mixing until you have a smooth, perfect-for-pouring consistency', 'chicken time', 'fry your chicken in batches until it’s cooked through and sticky – pour all of the marinade juices into the pan while cooking', 'chop your romaine lettuce into small pieces', 'assembly time', 'place the chicken on top of the salad then your coriander and cucumber alongside an extra red chilli if you like it spicy', 'scatter a large handful of chopped peanuts over the top, and then pour your peanut butter dressing over everything', 'mix together and enjoy.']","['chicken thighs', 'chilli', 'garlic', 'ginger', 'honey', 'soy sauce', 'coconut milk', 'peanut butter', 'lime', 'sugar', 'cucumber', 'peanuts', 'coriander', 'romaine lettuce', 'olive oil']"
