recipeID,ingredient_and_quantity,ingredient_gt
8,handful of coriander,coriander
8,salt,salt
8,vegetable oil,vegetable oil
9,400g tilda long grain rice,grain rice
9,2 spring onions,spring onions
9,3cm knob of ginger,ginger
9,3 cloves of garlic,garlic
9,2 tsps sichuan peppercorns,sichuan pepper
9,500g medium tofu,tofu
9,250g pork mince,pork mince
9,3 tsps sugar,sugar
9,4 tbsps chilli bean sauce,chilli bean sauce
9,1 tbsp shaoxing wine,shaoxing wine
9,2 tbsps soy sauce,soy sauce
9,500ml chicken stock,chicken stock
9,3 tbsps cornflour,cornflour
9,1 tbsp chilli oil,chilli oil
9,1 tsp sesame oil,sesame oil
9,salt,salt
9,vegetable oil,vegetable oil
10,4 bulbs of garlic,garlic
10,4 slices sourdough,sourdough
10,200g goat's cheese,goat cheese
10,bunch of chives,chives
10,300ml sunflower oil,sunflower oil
10,2 tbsp honey,honey
10,salt,salt
10,pepper,pepper
11,3 romano peppers,romano peppers
11,1 red onion,onion
11,10 garlic cloves,garlic
11,300g chestnut mushrooms,chestnut mushrooms
11,80g walnuts,walnuts
11,15g raisins,raisins
11,2 tsp tomato paste,tomato paste
11,1 tsp ras el hanout,ras el hanout
11,1 tsp ground cumin,cumin
11,½ tsp smoked paprika,paprika
11,3 tbsp moscatel vinegar (or sub sherry vinegar),moscatel vinegar or sherry vinegar
11,125g cooked lentils (i used pre-cooked puy lentils),lentils
11,40g coriander,coriander
11,1 large jalapeño,jalapeno
11,½ tsp ground cardamom,cardamom
11,½ tsp chilli flakes,chili
11,100ml extra virgin olive oil,virgin olive oil
11,300g orzo,orzo
11,800ml vegetable stock,vegetable stock
12,8 tbsp peanut butter,peanut butter
12,4 tbsp soy sauce,soy sauce
12,2 tbsp sugar,sugar
12,2 tbsp apple cider vinegar,apple cider vinegar
12,1 bunch of spring onions,spring onions
12,200g medium egg noodles,egg noodles
12,6 sausages,sausages
12,4 garlic cloves,garlic
12,1-inch piece of ginger,ginger
12,1 tsp chilli flakes,chilli flakes
12,1 red chilli,chilli
12,vegetable oil,vegetable oil
13,160g unsalted butter,butter
13,150g plain flour,flour
13,4 large eggs,eggs
13,200g light brown sugar,sugar
13,120ml single cream,single cream
13,2 tsp vanilla extract,vanilla extract
13,handful of roasted peanuts,peanuts
13,2 pints jude’s salted caramel ice cream,caramel ice cream
13,salt,salt
14,4 large aubergines or 6 small aubergines,aubergines
14,2 tsp sichuan peppercorns,sichuan pepper
14,4 large garlic cloves,garlic
14,3cm knob of ginger,ginger
14,4 tbsp light soy sauce,soy sauce
14,4 tbsp garlic chilli sauce,chilli garlic sauce
14,4 tbsp sugar,sugar
14,2 tbsp rice vinegar,rice vinegar
14,2 tsp corn flour,corn flour
14,200g tahini,tahini
14,5 tbsp toasted sesame oil,sesame oil
14,1 spring onion,spring onion
14,handful of roasted peanuts,peanuts
14,salt,salt
14,vegetable oil,vegetable oil
15,1 packet instant noodles,noodles
15,2 cloves of garlic,garlic
15,2 spring onions,spring onions
15,1 heaped tbsp oyster sauce,oyster sauce
15,1 1/2 tsp dark soy sauce,dark soy sauce
15,vegetable oil,vegetable oil
16,600g purple sprouting broccoli,purple sprouting broccoli
16,"90g rice flour, plus extra for dusting",rice flour
16,110g plain flour,flour
16,1 tsp baking powder,powder
16,1 tsp caster sugar,caster sugar
16,400ml icy cold sparkling water,carbonated water
16,4 tbsp mayo,mayonnaise
16,2 tbsp ‘nduja,‘nduja
16,1 clove of garlic,garlic
16,2 lemons,lemon
16,vegetable oil,vegetable oil
16,salt,salt
17,8 eggs,eggs
17,3 onions,onions
17,4 medium potatoes,potatoes
17,3 roasted peppers,peppers
17,1 tin of ortiz anchovies,anchovies
17,1 tbsp sweet smoked paprika,paprika
17,4 tbsp aioli,aioli
17,2 spring onions,spring onions
17,salt,salt
17,black pepper,pepper
17,olive oil,olive oil
18,310g room temperature water,water
18,8g dried instant yeast,yeast
18,10g sugar,sugar
18,500g strong white bread flour,bread flour
18,10g fine sea salt,fine sea salt
18,200g semolina,semolina
18,olive oil,olive oil
19,80ml soy sauce,soy sauce
19,50ml maple syrup,maple syrup
19,2 cloves of garlic,garlic
19,2-3 red chillies,chillies
19,1 large piece of ginger,ginger
19,300g mixed mushrooms (i used fresh shiitake and king oyster),mushrooms
19,100ml tahini,tahini
19,30ml sesame oil,sesame oil
19,60g white miso,miso
19,2 limes,lime
19,100ml oat milk,oat milk
19,300g soba noodles,soba noodles
19,90g baby pak choi (or sub for spinach),pak choi or spinach
19,1 spring onion,spring onion
19,1 tbsp sesame seeds,sesame seeds
19,wooden or metal skewers,skewers
20,7 cloves of garlic,garlic
20,large bunch of coriander,coriander
20,3 tbsp plain flour,flour
20,1l oat milk,oat milk
20,500g macaroni,macaroni
20,250g violife epic mature cheddar,cheddar
20,3 tbsp harissa paste,harissa paste
20,1 lemon,lemon
20,150g breadcrumbs,breadcrumbs
20,50g violife prosociano wedge,prosociano wedge
20,salt,salt
20,pepper,pepper
20,vegetable oil,vegetable oil
21,25g dried mushrooms,mushrooms
21,1 onion,onion
21,1 carrot,carrot
21,400g chestnut mushrooms,chestnut mushrooms
21,1 glass (200ml) of red wine,wine
21,2 tins of brown or green lentils,lentils
21,500g small pasta,pasta
21,handful of parsley,parsley
21,handful of sage,sage
21,pinch of chilli flakes,chilli
21,salt,salt
21,olive oil,olive oil
22,2 red onions,onions
22,2 cloves of garlic,garlic
22,2 jarred roasted peppers,peppers
22,1 tsp dried oregano,oregano
22,1 tsp chilli flakes,chilli
22,400g orzo,orzo
22,400g tin of chopped tomatoes,tomatoes
22,200g feta,feta
22,60g kalamata olives,kalamata olives
22,handful of dill,dill
22,handful of parsley,parsley
22,1 lemon,lemon
22,salt,salt
22,pepper,pepper
22,olive oil,olive oil
23,400g cavolo nero,cavolo nero
23,3 cloves of garlic,garlic
23,400g macaroni,macaroni
23,50g parmesan,parmesan
23,200g cheddar,cheddar
23,140g walnuts,walnuts
23,50g butter,butter
23,2 tbsp plain flour,flour
23,500ml whole milk,milk
23,½ tsp ground nutmeg,nutmeg
23,salt,salt
23,pepper,pepper
23,olive oil,olive oil
24,a small handful of mint,mint
24,1 onion,onion
24,500g lamb mince,lamb mince
24,1 tbsp harissa,harissa
24,4 flatbreads,flatbread
25,8 skinless chicken thighs,chicken thighs
25,1 red chilli,chilli
25,1 clove of garlic,garlic
25,large knob of ginger,ginger
25,2 tbsp clear honey,honey
25,4 tbsp soy sauce,soy sauce
25,400ml coconut milk,coconut milk
25,3 tbsp peanut butter,peanut butter
25,1 lime,lime
25,2 tsp sugar,sugar
25,1 cucumber,cucumber
25,large handful of salted peanuts,peanuts
25,bunch of coriander,coriander
25,3 small romaine lettuces,romaine lettuce
25,olive oil,olive oil
26,400g leftover grilled chicken or chicken tikka,chicken or chicken tikka
26,250g white onion,onion
26,50g garlic,garlic
26,3 tsp ground coriander,coriander
26,1 ½ tsp kashmiri chilli powder,chilli powder
26,1kg fresh tomatoes,tomatoes
26,60g cashew nuts,cashew nuts
26,2 tbsp fenugreek leaves,fenugreek leaves
26,pinch of cardamom,cardamom
26,small pinch of cinnamon,cinnamon
26,1 tsp honey,honey
26,2 tbsp double cream,dobble cream
26,70g butter,butter
26,30ml vegetable oil,vegetable oil
26,salt,salt
27,1 onion,onion
27,6cm knob of ginger,ginger
27,6 cloves of garlic,garlic
27,2 sticks of lemongrass,lemongrass
27,2 finger chillies,finger chili
27,750g new potatoes,potatoes
27,1 tsp ground cumin,cumin
27,½ tsp ground turmeric,turmeric
27,1 tsp chilli powder,chilli powder
27,400ml coconut milk,coconut milk
27,400ml vegetable stock,vegetable stock
27,400g tinned chickpeas,chickpeas
27,handful of coriander,coriander
27,salt,salt
27,pepper,pepper
27,vegetable oil,vegetable oil
28,600g baby potatoes,potatoes
28,1 leek,leek
28,2 cloves of garlic,garlic
28,250ml double cream,double cream
28,50ml white wine,wine
28,25g parmesan,parmesan
28,bunch of parsley,parsley
28,olive oil,olive oil
28,20g butter,butter
29,400g king oyster mushrooms,king oyster mushroom
29,3 tbsp cornflour,cornflour
29,1 ½ tbsp chinese five spice,five spice
29,1 cucumber,cucumber
29,6 spring onions,spring onions
29,180g hoisin sauce,hoisin sauce
29,12 chinese pancakes,pancakes
29,salt,salt
29,vegetable oil,vegetable oil
30,5 large carrots,carrots
30,300g giant couscous,couscous
30,2 tbsp honey,honey
30,1tbsp white wine vinegar,wine vinegar
30,handful of dates,dates
30,100g parsley,parsley
30,1 tsp chilli flakes,chilli
30,1 tsp cumin,cumin
30,1 lemon,lemon
30,1 tsp coriander,coriander
30,500g greek yoghurt,yoghurt
30,salt,salt
30,olive oil,olive oil
31,200g oyster mushrooms,oyster mushrooms
31,3 tbsp cornflour,cornflour
31,1 tsp salt,salt
31,1 tsp five-spice,five spice
31,3 tbsp hoisin sauce,hoisin sauce
31,1 tbsp tahini,tahini
31,3 tbsp light soy sauce,soy sauce
31,1 tbsp dark soy sauce,dark soy sauce
31,2 tbsp toasted sesame oil,sesame oil
31,500g noodles,noodles
31,5 cloves of garlic,garlic
31,1 bunch of spring onions,spring onions
31,1 red chilli,chilli
31,3cm knob of ginger,ginger
31,100g sugar snap peas,sugar snap peas
31,vegetable oil,vegetable oil
32,2 courgettes,zucchini
32,3 tomatoes,tomatoes
32,¼ red onion,onion
32,1 green chilli,chilli
32,1 clove of garlic,garlic
32,bunch of coriander,coriander
32,1 lime,lime
32,4 corn cobs,corn
32,100g plain flour,flour
32,2 tsp ground cumin,cumin
32,1 tsp smoked paprika,paprika
32,salt,salt
32,olive oil,olive oil
33,5 cloves of garlic,garlic
33,3 banana shallots,banana shallots
33,½ tsp chilli flakes,chilli
33,5 anchovy fillets,anchovies
33,2 x 400g tins of chopped tomatoes,tomatoes
33,2 x 90g tins of sardines in olive oil,sardines
33,500g spaghetti,spaghetti
33,1 lemon,lemon
33,50g capers,capers
33,small handful of dill,dill
33,100g ricotta,ricotta
33,salt,salt
33,pepper,pepper
33,olive oil,olive oil
34,300g chestnut mushrooms,chestnut mushrooms
34,5 tbsp whole milk,milk
34,3 tbsp breadcrumbs,breadcrumbs
34,500g pork mince,pork mince
34,1 egg,egg
34,15g parsley,parsley
34,1 tsp black pepper,pepper
34,½ tsp nutmeg,nutmeg
34,1 onion,onion
34,1 stick of celery,celery
34,1 carrot,carrot
34,250g green lentils,lentils
34,1 tbsp white wine vinegar,wine vinegar
34,1l chicken stock,chicken stock
34,handful of dill,dill
34,1 tbsp wholegrain mustard,wholegrain mustard
34,100g crème fraîche,creme fraiche
34,4 tbsp blueberry jam,blueberry jam
35,500g rigatoni,rigatoni
35,250g chorizo,chorizo
35,4 large garlic cloves,garlic
35,pinch of chilli flakes,chilli
35,2 tbsp double concentrated tomato purée,tomato puree
35,400g cherry tomatoes,cherry tomatoes
35,500g mascarpone,mascarpone
35,"30g parmesan, plus more to finish",parmesan
35,handful fresh flat-leaf parsley,parsley
35,handful fresh basil leaves,basil leaves
35,salt,salt
35,black pepper,pepper
35,olive oil,olive oil
36,handful of pine nuts,pine nuts
36,400g spaghetti,spaghetti
36,300g of jarred artichokes,artichokes
36,4 cloves of garlic,garlic
36,1 red chilli,chilli
36,1 sprig of rosemary,rosemary
36,handful of mint,mint
36,1 big lemon,lemon
36,salt,salt
36,pepper,pepper
36,olive oil,olive oil
37,2 shallots,shallots
37,3 cloves of garlic,garlic
37,400g chopped tomatoes,tomatoes
37,"100g parmesan, plus the rind",parmesan
37,"handful of basil, plus the stalks",basil
37,3 tbsp fresh pesto,pesto
37,3 tbsp mayo,mayonnaise
37,4 chicken breasts,chicken breasts
37,140g plain flour,flour
37,3 eggs,eggs
37,150g panko breadcrumbs,panko breadcrumbs
37,250g mozzarella,mozzarella
37,4 brioche buns,brioche buns
37,lemon wedges,lemon wedge
37,salt,salt
37,pepper,pepper
37,olive oil,olive oil
38,300g bucatini,bucatini
38,150g pancetta,pancetta
38,2 balls of mozzarella,mozzarella
38,4 eggs,eggs
38,50g parmesan,parmesan
38,salt,salt
38,pepper,pepper
38,olive oil,olive oil
39,1.5kg maris piper potatoes,potatoes
39,150g plain flour,flour
39,5 cloves of garlic,garlic
39,800g chopped tomatoes,tomatoes
39,2 tbsp rose harissa paste,harissa paste
39,1 tsp miso paste,miso paste
39,1 lemon,lemon
39,150g silken tofu,tofu
39,handful of basil,basil
39,salt,salt
39,pepper,pepper
39,olive oil,olive oil
40,8 slices of sourdough,sourdough
40,500g thick greek yoghurt,yoghurt
40,8 eggs,eggs
40,4 tbsp za’atar,za'atar
40,2 tsp chilli flakes,chilli
40,handful of mint,mint
40,salt,salt
40,olive oil,olive oil
41,100g ricotta,ricotta
41,1 tsp chilli flakes,chilli
41,3 tbsp oregano,oregano
41,30g breadcrumbs,breadcrumbs
41,2 eggs,eggs
41,50g plain flour,flour
41,300g pitted green olives,pitted olives
41,1l vegetable oil,vegetable oil
41,salt,salt
41,olive oil,olive oil
42,a small handful of parsley,parsley
42,3 cloves of garlic,garlic
42,250g chestnut mushrooms,chestnut mushrooms
42,½ loaf sourdough bread,sourdough bread
42,10 rashers of bacon,bacon
42,6 sausages,sausages
42,250g cherry tomatoes on the vine,cherry tomatoes
42,4 eggs,eggs
42,salt,salt
42,olive oil,olive oil
43,1 bunch of spring onions,spring onions
43,1 red chilli,chilli
43,25g knob of ginger,ginger
43,4 garlic cloves,garlic
43,1kg boneless pork belly,pork belly
43,40g brown sugar,sugar
43,1 star anise,star anise
43,50ml light soy sauce,soy sauce
43,70ml shaoxing wine,shaoxing wine
43,2 tbsp guinness paste,guinness paste
43,½ white cabbage,cabbage
43,½ cucumber,cucumber
43,bunch of coriander,coriander
43,8 bao buns,bao buns
44,"1 tbsp crispy chilli oil, plus 1 tsp",chilli oil
44,1 tbsp tahini,tahini
44,1 pak choi,pak choi
44,1 packet of instant noodles,noodles
44,1 tsp toasted sesame seeds,sesame seeds
45,500g heritage carrots (with their tops),carrots
45,½ tsp cinnamon,cinnamon
45,1 lemon,lemon
45,300g thick greek yoghurt,yoghurt
45,150g feta,feta
45,400g tin of chickpeas,chickpeas
45,2 tbsp honey,honey
45,2 tbsp rose harissa paste,harissa paste
45,salt,salt
45,pepper,pepper
45,olive oil,olive oil
46,½ loaf of sourdough,sourdough
46,1 red onion,onion
46,1 bulb fennel,fennel
46,1 tin butterbeans,butter beans
46,3 large oranges,oranges
46,handful of basil,basil
46,handful of parsley,parsley
46,1 tsp chilli flakes,chilli
46,1 lemon,lemon
46,olive oil,olive oil
46,salt,salt
47,300g tilda basmati rice,basmati rice
47,250g paneer,paneer
47,2 onions,onions
47,6 cloves of garlic,garlic
47,5cm knob of ginger,ginger
47,2 green chillies,chillies
47,1 tsp cumin seeds,cumin seeds
47,2 tsp black mustard seeds,mustard seeds
47,1 tsp fenugreek seeds,fenugreek seeds
47,400g tinned tomatoes,tomatoes
47,1 tsp turmeric,turmeric
47,1 tsp chilli powder,chilli powder
47,1 tbsp garam masala,garam masala
47,1 tin of chickpeas,chickpeas
47,3 tbsp double cream,double cream
47,bunch of coriander,coriander
47,vegetable oil,vegetable oil
48,3 bananas,bananas
48,3 eggs,eggs
48,6 tbsp self-raising flour,self-raising flour
48,your favourite pancake topping,pancake topping
49,1 chicken carcass,chicken carcass
49,2 onions,onions
49,1 bulb of garlic,garlic
49,veggie scraps,mixed vegetables
50,1kg skin-on chicken thighs,chicken thighs
50,150g sriracha,sriracha
50,50g honey,honey
50,2 tbsp soy sauce,soy sauce
50,2 bunches of spring onions,spring onions
50,6 cloves of garlic,garlic
50,2 tbsp toasted sesame seeds,sesame seeds
50,"steamed rice, to serve",rice
51,1.5kg potatoes,potatoes
51,2 tbsp nduja,nduja
51,handful of rosemary,rosemary
51,half a lemon,lemon
51,olive oil,olive oil
51,salt,salt
52,450g firm tofu,tofu
52,2 tbsp light soy sauce,soy sauce
52,2 tbsp corn flour,corn flour
52,150ml vegetable oil,vegetable oil
52,dipping sauce of your choice,sauce
53,6 cloves of garlic,garlic
53,3 thai red chillies,chillies
53,¼ savoy cabbage,savoy cabbage
53,large handful mint,mint
53,2 tbsp fish sauce,fish sauce
53,2 tbsp soy sauce,soy sauce
53,2 tbsp oyster sauce,oyster sauce
53,2 tsp sugar,sugar
53,400g sausages,sausages
53,4 eggs,eggs
53,"rice, to serve",rice
54,1 large butternut squash,butternut squash
54,300g greek yoghurt,yoghurt
54,100g goat's cheese,goat cheese
54,2 lemons,lemon
54,1 green chilli,chilli
54,1 clove of garlic,garlic
54,2 bunches of coriander (60g),coriander
54,2 tsp ground cardamom,cardamom
54,1 tsp ground cumin,cumin
54,½ tsp chili flakes,chili
54,50g hazelnuts,hazelnuts
55,4 chicken legs,chicken legs
55,1/2 loaf of sourdough,sourdough
55,4 medium sized tomatoes,tomatoes
55,4 tbsp ‘nduja,‘nduja
55,basil,basil
55,250ml chicken stock,chicken stock
55,2 tbsp creme fraiche,creme fraiche
55,salt,salt
55,pepper,pepper
55,olive oil,olive oil
56,2 eggs,eggs
56,100g plain flour,flour
56,250g milk,milk
56,salt,salt
57,280g plain flour,flour
57,3 tbsp sugar,sugar
57,1 tsp baking powder,powder
57,1 tsp bicarbonate of soda,bicarbonate of soda
57,pinch of salt,salt
57,300ml sour cream,sour cream
57,25g butter,butter
57,4 eggs,eggs
57,100ml milk,milk
58,5 eggs,eggs
58,100g parmesan,parmesan
58,4 tbsp cream cheese,cream cheese
58,1 tbsp butter,butter
58,2 bagels,bagel
58,3 rashers of smoked streaky bacon,streaky bacon
58,small handful of parsley,parsley
59,6 jolly hog proper porker sausages,sausages
59,3 large onions,onions
59,200ml red wine,wine
59,1 tbsp butter,butter
59,2 tbsp tomato purée,tomato puree
59,2 cloves of garlic,garlic
59,400ml chicken stock,chicken stock
59,handful of parsley,parsley
59,50g parmesan,parmesan
59,400g tagliatelle,tagliatelle
59,olive oil,olive oil
59,salt,salt
60,200g apetina paneer,paneer
60,"2 tbsp sesame seeds, plus extra for garnish",sesame seeds
60,1 large courgette,courgette
60,1-inch knob of ginger,ginger
60,3 cloves of garlic,garlic
60,1 red chilli,chilli
60,"2 spring onions, plus extra for garnish",spring onions
60,"½ tsp chilli flakes, plus extra for garnish",chilli
60,3 tbsp plain flour,flour
60,4 large eggs,eggs
60,1 tsp salt,salt
60,½ tsp pepper,pepper
60,1 tbsp gochujang,gochujang base
60,3 tsp soy sauce,soy sauce
60,coconut oil,coconut oil
60,1 lime,lime
61,10 cloves of garlic,garlic
61,2 tbsp black peppercorns,peppercorns
61,2 tbsp butter,butter
61,½ tsp chilli flakes,chilli
61,1kg spinach,spinach
61,150g parmesan,parmesan
61,salt,salt
62,2 white onions,onions
62,6 cloves of garlic,garlic
62,1 tsp paprika,paprika
62,2 tsp ground cumin,cumin
62,2 tsp ground coriander,coriander
62,500g black eyed beans,black-eyed beans
62,400g chopped tomatoes,tomatoes
62,100g vegan coconut yoghurt,coconut yoghurt
62,350ml coconut milk,coconut milk
62,1 tbsp scotch bonnet chilli jam or 1 scotch bonnet,chilli jam
62,1l white wine vinegar,wine vinegar
62,500g caster sugar,caster sugar
62,2 chillies,chillies
62,1 cucumber,cucumber
62,¼ white cabbage,cabbage
62,¼ daikon,daikon
62,bunch of spring onions,spring onions
62,250g bombay mix,bombay mix
62,handful of coriander,coriander
62,salt,salt
62,vegetable oil,vegetable oil
63,300g vegan puff pastry,puff pastry
63,7 large banana shallots,banana shallots
63,1 tbsp red wine vinegar,wine vinegar
63,handful of rosemary,rosemary
63,bunch of basil,basil
63,½ a clove of garlic,garlic
63,pinch of chilli flakes,chilli
63,salt,salt
63,olive oil,olive oil
64,500g gluten free pasta,pasta
64,50g almonds,almonds
64,60g basil,basil
64,50g butter,butter
64,2 tbsp plain flour,flour
64,500ml milk,milk
64,200g parmesan,parmesan
64,30g gluten free breadcrumbs,breadcrumbs
64,1 ball of mozzarella,mozzarella
64,salt,salt
64,olive oil,olive oil
65,"500g shelled, raw king prawns",king prawns
65,"4 heaped tsp curry powder (you can use mild or hot, we went for hot)",curry powder
65,2 egg yolks,egg
65,1 heaped tsp dijon mustard,dijon mustard
65,1 lime,lime
65,2 tbsp mango chutney,mango chutney
65,3 tbsp sultanas,sultanas
65,4 slices of thick white bread,bread
65,2 sticks of celery (with leaves),celery leaves
65,prawn crackers,prawn crackers
65,200ml sunflower oil,sunflower oil
66,250g instant polenta,polenta
66,300g vegan yoghurt,yoghurt
66,½ a red chilli,chilli
66,handful of mint,mint
66,2 tbsp capers,capers
66,salt,salt
66,olive oil,olive oil
67,6 good-quality sausages,sausages
67,2 tbsp butter,butter
67,1 shallot,shallot
67,3 cloves of garlic,garlic
67,400g rigatoni,rigatoni
67,2 tbsp gochujang,gochujang base
67,220ml single cream,single cream
67,2 limes,lime
67,2 tbsp honey,honey
67,30g coriander,coriander
67,15g panko breadcrumbs,panko breadcrumbs
67,40g parmesan,parmesan
67,salt,salt
67,pepper,pepper
67,olive oil,olive oil
68,2 large/4 small ciabatta or baguettes,ciabatta or baguette
68,2 cloves of garlic,garlic
68,1 tbsp oregano,oregano
68,1 tin chopped tomatoes,tomatoes
68,bunch of basil,basil
68,2 balls of mozzarella,mozzarella
68,salt,salt
68,olive oil,olive oil
69,3 tbsp yoghurt,yoghurt
69,2 tbsp maple syrup,maple syrup
69,1 egg,egg
69,½ tsp vanilla extract,vanilla extract
69,2 st pierre brioche burger buns,brioche buns
69,"150g selection of berries (strawberries, raspberries and blueberries)",mixed berries
69,2 tbsp strawberry jam (or any fruit jam),blueberries
70,2 aubergines,aubergines
70,500g cherry tomatoes,cherry tomatoes
70,3 tbsp za'atar,za'atar
70,1 bulb of garlic,garlic
70,200g bulgur wheat,bulgur wheat
70,2 red chillies,chillies
70,½ red onion,onion
70,small handful of parsley,parsley
70,4 spring onions,spring onions
70,1 lemon,lemon
70,1 tbsp tomato paste,tomato paste
70,1 tsp ground cumin,cumin
70,100g coconut yoghurt,coconut yoghurt
70,salt,salt
70,pepper,pepper
70,olive oil,olive oil
70,extra virgin olive oil,virgin olive oil
71,1 head of cauliflower,cauliflower
71,200g gluten-free bread,bread
71,2 eggs,eggs
71,500ml milk,milk
71,100g cornflour,cornflour
71,1 tsp smoked paprika,paprika
71,1 tsp dried thyme,thyme
71,5 cloves of garlic,garlic
71,50g peanut butter,peanut butter
71,200g mayo,mayonnaise
71,salt,salt
71,vegetable oil,vegetable oil
72,40g dried porcini mushrooms,porcini mushrooms
72,bunch of parsley,parsley
72,30g panko breadcrumbs,panko breadcrumbs
72,250g chestnut mushrooms,chestnut mushrooms
72,6 jolly hog proper porker sausages,sausages
72,3 cloves of garlic,garlic
72,400g orzo,orzo
72,1 tsp tomato purée,tomato puree
72,handful of thyme,thyme
72,125ml white wine,wine
72,100ml single cream,single cream
72,40g parmesan,parmesan
72,salt,salt
72,pepper,pepper
72,olive oil,olive oil
73,4 baking potatoes,potatoes
73,handful of dill,dill
73,1 lemon,lemon
73,50g black olives,olives
73,bunch of chives,chives
73,handful of parsley,parsley
73,½ tsp chilli flakes,chilli
73,250g feta,feta
73,100ml milk,milk
73,salt,salt
73,pepper,pepper
73,olive oil,olive oil
74,250g apetina paneer,paneer
74,2 tbsp cornflour,cornflour
74,½ tsp black pepper,pepper
74,¼ tsp white pepper,pepper
74,1 tsp garlic powder,garlic powder
74,¼ tsp ground ginger,ginger
74,½ tsp onion salt,onion salt
74,½ tsp salt,salt
74,½ tsp five-spice powder,five-spice powder
74,2 tsp chilli flakes,chilli
74,5 tbsp milk (i use oat but any milk will do),milk
74,30g desiccated coconut,coconut
74,5 tbsp coconut oil,coconut oil
74,4 tbsp runny honey,honey
74,½ tsp chilli flakes,chilli
74,½ fresh red chilli,chilli
74,a lime,lime
75,1kg new potatoes,potatoes
75,1 clove of garlic,garlic
75,handful of coriander,coriander
75,handful of peanuts,peanuts
75,salt,salt
75,olive oil,olive oil
75,4 red chillies,chillies
75,1 tomato,tomato
75,2 tbsp dried chilli flakes,chilli
75,1 lemongrass stalk,lemongrass
75,2 cloves of garlic,garlic
75,1cm knob of ginger,ginger
75,4 banana shallots,banana shallots
75,½ lime,lime
75,1 tbsp brown sugar,sugar
75,vegetable oil,vegetable oil
75,2 cloves of garlic,garlic
75,1 banana shallot,banana shallots
75,1 lemongrass stalk,lemongrass
75,¼ tsp chilli powder,chilli powder
